Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Hands Folding,Marilyn Minter,4008,"(American, born 1948)",(American),(1948),(0),(Female),1989,Screenprint on aluminum,,Gift of Landfall Press,230.1997,Print,Drawings & Prints,1997-05-28,Y,64835,http://www.moma.org/collection/works/64835,,,,,,,,,,
E. E. Cummings,Frederick Kiesler,3091,"(American, born Austria-Hungary. 1890–1965)",(American),(1890),(1965),(Male),1948,Pencil and metallic paint on paper,"20 3/4 x 16 7/8"" (52.9 x 43.1 cm)",Gift of the D. S. and R. H. Gottesman Foundation,105.1963.7,Drawing,Drawings & Prints,1963-02-13,N,85242,,,,,,52.7,,,42.9,,
Dutch House,Thomas Roma,5006,"(American, born 1950)",(American),(1950),(0),(Male),1975,"Gelatin silver print, printed 1989","22 13/16 × 33 15/16"" (58 × 86.3 cm)",Polaroid Foundation Fund,222.1989,Photograph,Photography,1989-10-12,Y,48944,http://www.moma.org/collection/works/48944,http://www.moma.org/media/W1siZiIsIjQyMjc4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1fe0c6120296deed,,,,58.0,,,86.3,,
Poster of the French National Railroad,Album-miscellaneous,101,(Various),(),(0),(0),(),1900-1943,,,Gift of the French National Railroads,65.1943.103,Design,Architecture & Design,1943-02-18,N,162924,,,,,,,,,,,
"Photocollage,","Martin Kippenberger, Rudolf Bonvie, Georg Herold, Albert Oehlen, Thomas Wachweger, Ilona Weber, Wolfgang Weber","3111, 8497, 2615, 4375, 48388, 48391, 48392","(German, 1953–1997) (German, born 1947) (German, born 1947) (German, born 1954) (German, 1943–2015)",(German) (German) (German) (German) (German) () (),(1953) (1947) (1947) (1954) (1943) (0) (0),(1997) (0) (0) (0) (2015) (0) (0),(Male) (Male) (Male) (Male) () () (),1983,"Catalogue, lithograph printed","page (each): 9 7/16 × 6 1/2"" (23.9 × 16.5 cm); overall (closed): 9 7/16 × 6 1/2 × 3/16"" (23.9 × 16.5 × 0.5 cm)",Committee on Drawings and Prints Fund and through the generosity of Philip E. Aarons and Shelley Fox Aarons,548.2015,Illustrated Book,Drawings & Prints,2015-06-03,Y,195090,http://www.moma.org/collection/works/195090,http://www.moma.org/media/W1siZiIsIjMzMjY4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f25f5f8e77abd97d,,,,23.9,,,16.5,,
The Leg (La Gamba),Giuseppe Viviani,6174,"(Italian, 1898–1965)",(Italian),(1898),(1965),(Male),1939,Etching,"plate: 7 3/4 x 11 7/8"" (19.7 x 30.2cm); sheet: 10 3/4 x 13 1/2"" (27.3 x 34.3 cm)",Purchase,306.1949,Print,Drawings & Prints,1949-05-26,N,66539,,,,,,19.7,,,30.2,,
"Canton, Ohio",Lee Friedlander,2002,"(American, born 1934)",(American),(1934),(0),(Male),1980,Gelatin silver print,"7 9/16 × 11 1/4"" (19.2 × 28.5 cm)",Purchase,879.2000,Photograph,Photography,2000-10-12,N,57237,,,,,,19.2,,,28.5,,
Untitled from What It Is like to Be What You Are Not,Rosemarie Trockel,5933,"(German, born 1952)",(German),(1952),(0),(Female),1993,One photogravure from a portfolio of eight photogravures and one offset lithograph and screenprint,"composition: 14 15/16 x 10 13/16"" (38 x 27.5 cm); sheet: 22 5/8 x 17 1/2"" (57.5 x 44.5 cm)",Carol O. Selle Fund (by exchange),748.1995.1,Print,Drawings & Prints,1995-11-13,Y,93068,http://www.moma.org/collection/works/93068,http://www.moma.org/media/W1siZiIsIjI0ODczMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c7e877a0f8252040,,,,38.0,,,27.5,,
"Parc de la Villette Project, Paris, France (Planetary/Water Strip)",Zaha Hadid,6953,"(British, born Iraq. 1950–2016)",(British),(1950),(2016),(Female),1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.7,Architecture,Architecture & Design,1996-09-25,Y,382,http://www.moma.org/collection/works/382,http://www.moma.org/media/W1siZiIsIjU2MDEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=d64f88e09e24e12d,,,,29.8451,,,41.9101,,
Earth Text (Texte de terre),Jean Dubuffet,1633,"(French, 1901–1985)",(French),(1901),(1985),(Male),1959,Lithograph,"composition: 14 5/8 × 19"" (37.2 × 48.3 cm); sheet: 19 11/16 x 25 7/8"" (50 x 65.8 cm)","Gift of Heinz Berggruen, in memory of Frank Perls, Art Dealer",393.1975,Print,Drawings & Prints,1976-01-08,Y,68360,http://www.moma.org/collection/works/68360,http://www.moma.org/media/W1siZiIsIjI4ODEwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4c0b399b0603b415,,,,37.2,,,48.3,,
Figure 9 from Black Numeral Series,Jasper Johns,2923,"(American, born 1930)",(American),(1930),(0),(Male),1968,One from a series of ten lithographs,"composition: 27 3/4 × 21 3/4"" (70.5 × 55.3 cm); sheet: 37 × 30"" (94 × 76.2 cm)",John B. Turner Fund,881.1969.10,Print,Drawings & Prints,1969-10-28,Y,74614,http://www.moma.org/collection/works/74614,http://www.moma.org/media/W1siZiIsIjIwOTQ4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d7bca7c8454d3ef9,,,,70.5,,,55.3,,
"Dermatitis, Wash Clean",George Morris,4102,"(British, active 1940s)",(British),(0),(0),(Male),c.1945,Lithograph,"29 1/2 x 19"" (74.9 x 48.3 cm)",Gift of the Royal Society for the Prevention of Accidents,320.1953,Design,Architecture & Design,1953-04-07,Y,6234,http://www.moma.org/collection/works/6234,http://www.moma.org/media/W1siZiIsIjI2MzM1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1bd9b7d9f28891cc,,,,74.93014986029999,,,48.2600965202,,
Combinations,Christian Holstad,28663,"(American, born 1972)",(American),(1972),(0),(Male),2003,"Pencil and gouache on erased newspaper
","5 7/8 x 9"" (14.9 x 22.9 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1882.2005,Drawing,Drawings & Prints,2005-05-10,Y,96167,http://www.moma.org/collection/works/96167,http://www.moma.org/media/W1siZiIsIjExMTQ1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ffd9f334988cf2d8,,,,14.9,,,22.9,,
Independence/Nakba,Fazal Sheikh,49682,"(American, born 1965)",(American),(1965),(0),(Male),2013,Pigmented inkjet prints,"16 × 14"" (40.6 × 35.6 cm)",Acquired through the generosity of Jane P. Watkins,357.2016.1-130,Photograph,Photography,2016-05-19,Y,204435,http://www.moma.org/collection/works/204435,,,35.560071120100005,,0.0,,,40.6400812802,,
Shturm i natysk. Poemy,Aleksandr Rodchenko,4975,"(Russian, 1891–1956)",(Russian),(1891),(1956),(Male),1926,,"Page: 6 15/16 x 5 1/8"" (17.6 x 13 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),751.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,22657,,,,,,17.6,,,13.0,,
"Linked Hybrid, Beijing, China (Site study)",Steven Holl,2702,"(American, born 1947)",(American),(1947),(0),(Male),2003-2006,Chipboard and plexiglass,"7 x 16 x 20"" (17.8 x 40.6 x 50.8 cm)",Gift of the Contemporary Arts Council of the Museum of Modern Art and the Architecture and Design Purchase Fund,1774.2008.5,Architecture,Architecture & Design,2008-11-10,Y,139022,http://www.moma.org/collection/works/139022,http://www.moma.org/media/W1siZiIsIjE3OTI4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f248f357ec31a650,,50.8001016002,,17.7800355601,,,40.6400812802,,
Study for Do the Dance,Elizabeth Murray,4185,"(American, 1940–2007)",(American),(1940),(2007),(Female),2005,Colored pencil on paper,"8 1/2 x 13 3/4"" (21.6 x 34.9 cm), irreg.",Gift of Arne and Milly Glimcher,227.2006,Drawing,Drawings & Prints,2006-02-14,Y,100463,http://www.moma.org/collection/works/100463,http://www.moma.org/media/W1siZiIsIjQzMjkzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dd1a7a51d4aa5c07,,,,21.59,,,34.9251,,
HONG KONG,Werner Bischof,566,"(Swiss, 1916–1954)",(Swiss),(1916),(1954),(Male),1953,Gelatin silver print,"9 3/4 × 13 7/8"" (24.8 × 35.2 cm)",Gift of Mrs. René Burri,307.1964,Photograph,Photography,1964-04-14,N,50341,,,,,,24.8,,,35.2,,
St. Nicolas du Chardonnet,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1914-20,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3258,Photograph,Photography,1968-03-06,Y,41389,http://www.moma.org/collection/works/41389,http://www.moma.org/media/W1siZiIsIjI3NTQyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=19f918813ecef91a,,,,,,,,,
Plate (folio 4) from Utinoe gnezdyshko... durnykh slov (A Little Duck's Nest... of Bad Words),Olga Rozanova,5066,"(Russian, 1886–1918)",(Russian),(1886),(1918),(Female),1913,Lithograph from an illustrated book with twenty-two lithographs and lithographed manuscript texts,"composition (irreg.): 6 11/16 × 4 7/16"" (17 × 11.2 cm); page: 6 7/8 × 4 7/16"" (17.4 × 11.2 cm)",Blanchette Hooker Rockefeller Fund,150.1982.4,Illustrated Book,Drawings & Prints,1982-05-05,Y,11972,http://www.moma.org/collection/works/11972,,,,,17.0,,,11.2,,
Earth Telephone (Erdtelephon),Joseph Beuys,540,"(German, 1921–1986)",(German),(1921),(1986),(Male),1973,Screenprint on felt board,"composition: 26 1/8 x 23 7/16"" (66.4 x 59.5 cm); sheet: 39 1/2 x 23 9/16"" (100.3 x 59.8 cm)",Linda Barth Goldstein Fund,1444.2001,Print,Drawings & Prints,2001-05-24,Y,76821,http://www.moma.org/collection/works/76821,http://www.moma.org/media/W1siZiIsIjcwNDA0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=2997f23080742481,,,,66.3576,,,59.5314,,
Asparagus and Lemon,Yozo Hamaguchi,2472,"(Japanese, 1909–2000)",(Japanese),(1909),(2000),(Male),1957,Mezzotint,"plate: 11 3/4 x 17 1/2"" (29.8 x 44.5cm); sheet: 19 11/16 x 25 5/8"" (50 x 65.1cm)",Gift of Heinz Berggruen,566.1959,Print,Drawings & Prints,1959-04-22,Y,71220,http://www.moma.org/collection/works/71220,http://www.moma.org/media/W1siZiIsIjIxNTI5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=03b1f25aecaa1f45,,,,29.8,,,44.5,,
"Puits, rue du Figuier",Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1900,Albumen silver print,"Approx. 8 11/16 × 6 9/16"" (22 × 16.7 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.2295,Photograph,Photography,1968-03-06,Y,40307,http://www.moma.org/collection/works/40307,http://www.moma.org/media/W1siZiIsIjI4Mjg3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55ed0d556f14a290,,,,,,,,,
348 79,Algirdas Šeškus,74817,"(Lithuanian, born 1945)",(Lithuanian),(1945),(0),(Male),1979,Gelatin silver print,"3 9/16 × 2 3/8"" (9 × 6 cm)",The Photography Council Fund,1018.2018,Photograph,Photography,2018-10-24,Y,291971,http://www.moma.org/collection/works/291971,http://www.moma.org/media/W1siZiIsIjQ0MDc5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=06f08d149ee44d29,,0.0,,9.0,,,6.0,,
Study for Hooked Rug from Connections,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),(1899),(1994),(Female),1983,One from a portfolio of nine screenprints,"composition: 23 × 17 3/4"" (58.4 × 45.1 cm); sheet: 27 3/8 × 19 1/2"" (69.5 × 49.5 cm)",Gift of The Josef and Anni Albers Foundation in memory of Joseph Fearer,517.1997.5,Print,Drawings & Prints,1997-11-11,Y,139804,http://www.moma.org/collection/works/139804,http://www.moma.org/media/W1siZiIsIjE5NzMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4167d51fc0b4c8db,,,,58.4,,,45.1,,
Rabbi Reading,Max Weber,6275,"(American, born Russia. 1881–1961)",(American),(1881),(1961),(Male),1919-20,Woodcut,"composition (irreg.): 4 3/16 x 1 15/16"" (10.7 x 4.9 cm); sheet: 11 1/16 x 8"" (28.1 x 20.3 cm)",Gift of Abby Aldrich Rockefeller,1451.1940,Print,Drawings & Prints,1940-04-05,Y,76843,http://www.moma.org/collection/works/76843,http://www.moma.org/media/W1siZiIsIjIwOTYwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9456c041286d4e6b,,,,10.7,,,4.9,,
Team,Anthony Goicolea,28639,"(American, born 1971)",(American),(1971),(0),(Male),(2003),Pencil and colored pencil on transparentized paper with plexiglass,"12 1/4 x 9 3/8 x 1 1/4"" (31.1 x 23.8 x 3.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1744.2005,Drawing,Drawings & Prints,2005-05-10,Y,97865,http://www.moma.org/collection/works/97865,http://www.moma.org/media/W1siZiIsIjE2NzAxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fff42089851b67a5,,,,30.1626,,,22.86,,
"DAVID AND ABSALOM, plate 70 (volume II, folio 30) from the BIBLE",Marc Chagall,1055,"(French, born Belarus. 1887–1985)",(French),(1887),(1985),(Male),1931-1956,"Etching, soft ground etching, and engraving, printed in black","plate  12 1/4 x 9 11/16"" (31.2 x 24.6 cm)",The Louis E. Stern Collection,756.1964.B13,Illustrated Book,Drawings & Prints,1964-10-06,N,23050,,,,,,31.2,,,24.6,,
"Opening, Frank Stella Exhibition, The Museum of Modern Art. (John Szarkowski blowing smoke rings)",Garry Winogrand,6399,"(American, 1928–1984)",(American),(1928),(1984),(Male),1970,Gelatin silver print,"10 5/8 × 15 7/8"" (27 × 40.3 cm)",Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz,396.1998,Photograph,Photography,1998-06-11,N,52544,,,,,,27.0,,,40.3,,
Untitled,Luc Dietrich,49959,"(French, 1913–1944)",(French),(1913),(1944),(Male),1929,Gelatin silver print,"12 5/16 × 10 11/16"" (31.3 × 27.2 cm)","Thomas Walther Collection. Gift of James Thrall Soby, by exchange",1632.2001,Photograph,Photography,2001-12-13,Y,83722,http://www.moma.org/collection/works/83722,http://www.moma.org/media/W1siZiIsIjIwMjM4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e1799b2723c14a8a,,,,31.3,,,27.2,,
"Egg Beater, V",Stuart Davis,1412,"(American, 1892–1964)",(American),(1892),(1964),(Male),1930,Oil on canvas,"50 1/8 x 32 1/4"" (127.3 x 81.9 cm)",Abby Aldrich Rockefeller Fund,122.1945,Painting,Painting & Sculpture,1945-03-07,Y,78895,http://www.moma.org/collection/works/78895,http://www.moma.org/media/W1siZiIsIjE0OTgyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1bae09615c69af72,,,,127.3,,,81.9,,
Untitled,Paul Waldman,6218,"(American, born 1936)",(American),(1936),(0),(Male),1965,Graphite on cut-and-pasted ragboard,"20 1/8 x 15"" (51.1 x 38.3 cm)",Given anonymously,382.1965,Drawing,Drawings & Prints,1965-05-11,Y,36607,http://www.moma.org/collection/works/36607,http://www.moma.org/media/W1siZiIsIjI3ODk5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=efc25efbbdcfb663,,,,51.1,,,38.1,,
"Concurso Centro Cívico de Ámsterdam, The Netherlands","Flora Manteola, Ignacio Petchersky, Javier Sánchez Gómez, Josefa Santos, Justo Solsona, Rafael Viñoly","44160, 46152, 44161, 44162, 44163, 7229","(Argentine, born 1936) (Argentine) (Argentine, born 1936) (Argentine, born 1931) (Argentine, born 1931) (American, born Uruguay 1944)",(Argentine) (Argentine) (Argentine) (Argentine) (Argentine) (American),(1936) (0) (1936) (1931) (1931) (1944),(0) (0) (0) (0) (0) (0),(Female) (Male) (Male) (Female) (Male) (Male),1969,Gelatin silver print,"7 1/16 x 9 7/16"" (18 x 24 cm)",Gift of MSGSSS,742.2014.2,Architecture,Architecture & Design,2014-10-06,Y,182104,http://www.moma.org/collection/works/182104,http://www.moma.org/media/W1siZiIsIjMzNzkxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d96b9044646da7a7,,,,18.0,,,24.0,,
City Night (Stadtnacht) (plate 2) from Stadtnacht (City Night),Max Beckmann,429,"(German, 1884–1950)",(German),(1884),(1950),(Male),1921,Lithograph from an illustrated book with seven lithographs,"composition (irreg.): 7 9/16 x 6"" (19.2 x 15.3 cm); page: 10 11/16 x 8 13/16"" (27.2 x 22.4 cm)",The Louis E. Stern Collection,674.1964.3,Illustrated Book,Drawings & Prints,1964-10-06,Y,20288,http://www.moma.org/collection/works/20288,http://www.moma.org/media/W1siZiIsIjEyNjQ1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d954808330116963,,,,19.2,,,15.3,,
"McKeesport, Pennsylvania",Lee Friedlander,2002,"(American, born 1934)",(American),(1934),(0),(Male),1979-80,Gelatin silver print,"7 9/16 × 11 1/4"" (19.2 × 28.5 cm)",Purchase,980.2000,Photograph,Photography,2000-10-12,N,57414,,,,,,19.2,,,28.5,,
Eartha Kitt,Carl Van Vechten,11663,"(American, 1880–1964)",(American),(1880),(1964),(Male),1950s,Gelatin silver print,"5 5/16 × 3 1/8"" (13.5 × 7.9 cm)
",The Family of Man Fund,1052.2014,Photograph,Photography,2014-10-09,Y,178886,http://www.moma.org/collection/works/178886,http://www.moma.org/media/W1siZiIsIjMxNjkwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d218a7e99105d03e,,,,13.5,,,7.9,,
Kri-Kri e Lea Militari,,,,,,,,1913,2 sheet/1 piece,"55 1/4 x 39 1/2"" (140.3 x 100.3 cm)",Purchase,1088.2005,Work on Paper,Film,2005-07-01,N,105952,,,,,,140.3353,,,100.3302,,
"""WITH TOOTH AND NAIL,"" plate L (folio 157) from MISERERE",Georges Rouault,5053,"(French, 1871–1958)",(French),(1871),(1958),(Male),(Print executed 1926),"Lift ground aquatint, aquatint, and drypoint over photogravure, printed in black","plate  22 11/16 x 17 1/2"" (57.6 x 44.4 cm)",The Louis E. Stern Collection,1047.1964.50,Illustrated Book,Drawings & Prints,1964-10-06,N,30666,,,,,,57.6,,,44.4,,
"Lyrics and Odes, volume from Seven Books of Poetry",Carl Andre,174,"(American, born 1935)",(American),(1935),(0),(Male),"1960–69, published 1969",Illustrated book with photolithographic reproductions,,John B. Turner Fund,464.1971.G,Illustrated Book,Drawings & Prints,1971-05-18,N,17495,,,,,,,,,,,
Hold My Bones Together,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),1999-2002,Drypoint,"plate: 4 15/16 x 8 3/8"" (12.5 x 21.3 cm); sheet: 9 1/4 × 11 7/8"" (23.5 × 30.2 cm)",Gift of the artist,1427.2008,Print,Drawings & Prints,2008-10-08,N,119334,,,,,,12.5,,,21.3,,
Dognat' i peregnat' v tekhniko-ekonomicheskom otnoshenii peredovye kapitalisticheskie strany v 10 let. 70 kartinnye diagrammna otkrytkakh (To Catch up with and Surpass the Leading Capitalist Countries in Technical and Economic Affairs in 10 Years. 70 Pictorial Diagrams on Postcards),Unknown Artists,23308,,(),(0),(0),(),1931,"Postcard from a portfolio of 70 postcards and one booklet, letterpress printed","sheet: 5 7/8 x 4 1/8"" (15 x 10.5 cm)",Gift of The Judith Rothschild Foundation,424.2001.2,Print,Drawings & Prints,2001-01-24,Y,164365,http://www.moma.org/collection/works/164365,http://www.moma.org/media/W1siZiIsIjI1NTQwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a4f7353471321ced,,,,15.0,,,10.5,,
"Grass, Arizona",Don Worth,6454,"(American, 1924–2009)",(American),(1924),(2009),(Male),1957,Gelatin silver print,"7 3/8 × 9 9/16"" (18.7 × 24.3 cm)",Gift of David H. McAlpin,1927.1968,Photograph,Photography,1968-05-01,Y,58517,http://www.moma.org/collection/works/58517,http://www.moma.org/media/W1siZiIsIjE5NzEyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7a282f981a0d7aec,,,,18.7,,,24.3,,
Orange Forth,Christopher Wilmarth,6386,"(American, 1943–1987)",(American),(1943),(1987),(Male),1969,"Wood, plastic, and graphite on paper mounted on plywood","8 3/8 x 8 3/8 x 1 1/2"" (21.3 x 21.3 x 3.8 cm)",Gift of Agnes Gund,188.1997,Drawing,Drawings & Prints,1997-04-17,Y,35159,http://www.moma.org/collection/works/35159,http://www.moma.org/media/W1siZiIsIjM0MTQwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d44bee114a4e5761,,3.8,,21.3,,,21.3,,
